Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,1344.0,18.0,25.0,2670.0,0.1,11.104999999999995,0.0,0.0,347.7203860282898,,,,,,,,,,,,,,,,,,,,,3.3695994026065437,3.8119517992495395,11.042834641382962,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1437.0,19.0,93.0,2763.0,0.1,38.814000000000014,0.0,0.0,355.95308685302734,,,,,,,,,,,,,,,,,,,,,11.986170661256113,11.139476336042293,37.77479794960442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1470.0,20.0,33.0,2796.0,0.1,13.906999999999993,0.0,0.0,359.3102447986603,,,,,,,,,,,,,,,,,,,,,3.872160129415313,4.6072912713757335,13.806818546002756,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,96.0,1.0,96.0,2892.0,0.1,78.30599999999998,0.0,0.0,501.21987891197205,,,,,,,,,,,,,,,,,,,,,32.42503691495867,24.72275941378796,75.3438087298149,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,162.0,2.0,66.0,2958.0,0.1,48.705999999999996,0.0,0.0,507.2076897621155,,,,,,,,,,,,,,,,,,,,,18.960855749864535,15.977142111611258,47.54963524135641,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,465.0,3.0,303.0,3261.0,0.1,215.107,0.0,0.0,533.3181040287018,,,,,,,,,,,,,,,,,,,,,97.68842814886534,55.72374307553333,185.87897834861275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,536.0,4.0,71.0,3332.0,0.1,40.80600000000002,0.0,0.0,540.0803198814392,,,,,,,,,,,,,,,,,,,,,12.859490840640126,13.356151443615401,39.97288194131522,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,583.0,5.0,47.0,3379.0,0.1,28.105000000000015,0.0,0.0,544.517492055893,,,,,,,,,,,,,,,,,,,,,10.859421941170222,9.086874449073356,27.6498792774406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,615.0,6.0,32.0,3411.0,0.1,16.705000000000016,0.0,0.0,547.6530456542969,,,,,,,,,,,,,,,,,,,,,5.386432653102692,5.691272114102363,16.565749087526683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,838.0,7.0,223.0,3634.0,0.1,92.60499999999993,0.0,0.0,566.972065448761,,,,,,,,,,,,,,,,,,,,,35.76010301775371,24.0112008191915,84.80001225153188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,977.0,8.0,139.0,3773.0,0.1,64.3150000000001,0.0,0.0,579.1915874481201,,,,,,,,,,,,,,,,,,,,,23.571585197454656,18.72435276288405,61.16081011697767,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,1113.0,9.0,136.0,3909.0,0.1,76.507,0.0,0.0,591.3398661613464,,,,,,,,,,,,,,,,,,,,,34.36699399102177,22.114341685376225,71.97697078181392,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1151.0,10.0,38.0,3947.0,0.1,16.507000000000012,0.0,0.0,595.0344831943512,,,,,,,,,,,,,,,,,,,,,4.710334611188985,5.368733022220043,16.360712348759996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1204.0,11.0,53.0,4000.0,0.1,19.408000000000037,0.0,0.0,599.984531879425,,,,,,,,,,,,,,,,,,,,,5.160602727868835,5.854778826228484,19.172814511631703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1261.0,12.0,57.0,4057.0,0.1,41.605999999999995,0.0,0.0,605.2370975017548,,,,,,,,,,,,,,,,,,,,,16.190058026983714,13.798856124787681,40.764655238283275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1310.0,13.0,49.0,4106.0,0.1,18.60700000000003,0.0,0.0,609.9987578392029,,,,,,,,,,,,,,,,,,,,,5.205053973173121,5.6883546819365804,18.388711389381893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1364.0,14.0,54.0,4160.0,0.1,31.10800000000002,0.0,0.0,615.0409815311432,,,,,,,,,,,,,,,,,,,,,11.432415409941129,9.943058332234088,30.551722461062838,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1480.0,15.0,116.0,4276.0,0.1,62.808000000000014,0.0,0.0,625.298157453537,,,,,,,,,,,,,,,,,,,,,24.463650278402664,18.271756998733462,60.090337151671484,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1512.0,16.0,32.0,4308.0,0.1,12.407999999999992,0.0,0.0,628.4452669620514,,,,,,,,,,,,,,,,,,,,,3.2559538380191317,4.090283878396898,12.328454056843018,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1569.0,17.0,57.0,4365.0,0.1,23.205000000000005,0.0,0.0,633.693249464035,,,,,,,,,,,,,,,,,,,,,9.127231443342277,6.243281201332276,22.730185448440924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
